,title,release_year,titleId
0,Shershaah,2021,10295212
1,Mimi,2021,10895576
2,#Home,2021,10534500
3,Boomika,2021,11073148
4,The Family Man,2019,9544034
5,Lion,2016,3741834
6,3 Idiots,2009,1187043
7,Life of Pi,2012,0454876
8,Haseen Dillruba,2021,11027830
9,Soorarai Pottru,2020,10189514
10,Uri: The Surgical Strike,2019,8291224
11,Dangal,2016,5074352
12,The Fall,2006,0460791
13,The Darjeeling Limited,2007,0838221
14,Sacred Games,2018,6077448
15,Andhadhun,2018,8108198
16,Hotel Mumbai,2018,5461944
17,Gangs of Wasseypur,2012,1954470
18,Drishyam 2,2021,12361178
19,The Hundred-Foot Journey,2014,2980648
20,Kota Factory,2019,9432978
21,The Way Back,2010,1023114
22,Gandhi,1982,0083987
23,Bãhubali: The Beginning,2015,2631186
24,Taare Zameen Par,2007,0986264
25,The Man Who Knew Infinity,2015,0787524
26,LOC: Kargil,2003,0347416
27,Vanity Fair,2004,0241025
28,The Jungle Book,1994,0110213
29,Dil Bechara,2020,8110330
30,PK,2014,2338151
31,Pather Panchali,1955,0048473
32,Special OPS,2020,11854694
33,Baahubali 2: The Conclusion,2017,4849438
34,Skater Girl,2021,6964940
35,K.G.F: Chapter 1,2018,7838252
36,Four More Shots Please!,2019,8242548
37,Good Newwz,2019,8504014
38,Laal Singh Chaddha,2021,10028196
39,Kesari,2019,6264938
40,Chennai Express,2013,2112124
41,Drishyam,2015,4430212
42,Apur Sansar,1959,0052572
43,Hera Pheri,2000,0242519
44,Kuch Kuch Hota Hai,1998,0172684
45,Mismatched,2020,12719250
46,Mastram,2020,12196626
47,My Name Is Khan,2010,1188996
48,Bajirao Mastani,2015,3735246
49,Lakshya,2004,0323013
50,Kabir Singh,2019,8983202
51,Master,2021,10579952
52,M.S. Dhoni: The Untold Story,2016,4169250
53,Pagglait,2021,11142762
54,Ghajini,2008,1166100
55,Vikram Vedha,2017,6148156
56,Padman,2018,7218518
57,Kal Ho Naa Ho,2003,0347304
58,Lagaan: Once Upon a Time in India,2001,0169102
59,The Last Hour,2021,9805612
60,The Second Best Exotic Marigold Hotel,2015,2555736
61,Gully Boy,2019,2395469
62,Bride & Prejudice,2004,0361411
63,Border,1997,0118751
64,Dil Chahta Hai,2001,0292490
65,Super 30,2019,7485048
66,Yeh Jawaani Hai Deewani,2013,2178470
67,Baby,2015,3848892
68,Zero,2018,6527426
69,Airlift,2016,4387040
70,Bhaag Milkha Bhaag,2013,2356180
71,Bombay,1995,0112553
72,Munna Bhai M.B.B.S.,2003,0374887
73,Om Shanti Om,2007,1024943
74,Pink,2016,5571734
75,"Swades: We, the People",2004,0367110
76,Kaagaz,2021,9569610
77,Malang - Unleash the Madness,2020,9877170
78,Lust Stories,2018,8439854
79,The Lunchbox,2013,2350496
80,Stree,2018,8108202
81,Inside Edge,2017,6112414
82,Special Chabbis,2013,2377938
83,Black Friday,2004,0400234
84,Sultan,2016,4832640
85,War,2019,7430722
86,Rockstar,2011,1839596
87,Section 375,2019,8144834
88,The Dirty Picture,2011,1954206
89,Kahaani,2012,1821480
90,Rang De Basanti,2006,0405508
91,Tamasha,2015,3148502
92,The Tenant,2021,8404998
93,Jagame Thandhiram,2021,10661848
94,Gong fu yu jia,2017,4217392
95,Drishyam,2013,3417422
96,Dilwale Dulhania Le Jayenge,1995,0112870
97,Dil Dhadakne Do,2015,4110568
98,The Other Side of the Door,2016,3702652
99,Udaan,2010,1639426
100,Kapoor & Sons,2016,4900716
101,Hichki,2018,6588966
102,Dilwale,2015,4535650
103,Goliyon Ki Rasleela Ram-Leela,2013,2215477
104,The Reluctant Fundamentalist,2012,2032557
105,OK Kanmani,2015,4271820
106,Khuda Haafiz,2020,7363104
107,Rangbaaz,2018,9420618
108,Singham,2011,1948150
109,Te3n,2016,4814290
110,Talaash,2012,1787988
111,Secret Superstar,2017,6108090
112,Luka Chuppi,2019,8908002
113,Chhalaang,2020,8983164
114,RRR,2021,8178634
115,Toilet - Ek Prem Katha,2017,5785170
116,A Gentleman,2017,5613834
117,The Namesake,2006,0433416
118,Ugly,2013,2882328
119,Viceroy's House,2017,4977530
120,Kamasutra 3D,2013,2527238
121,Naam Shabana,2017,6170954
122,Chak De! India,2007,0871510
123,Ek Villain,2014,3175038
124,Jab Harry Met Sejal,2017,5997666
125,Anniyan,2005,0376127
126,Barfi!,2012,2082197
127,Jism 2,2012,2226666
128,Jab We Met,2007,1093370
129,The Test Case,2018,6868278
130,Gunjan Saxena: The Kargil Girl,2020,10350626
131,Angrezi Medium,2020,8907986
132,The Disciple,2020,11423784
133,Meru,2015,2545428
134,Bharat,2019,7721800
135,The Kapil Sharma Show,2016,5747326
136,Black,2005,0375611
137,A Wednesday,2008,1280558
138,Fan,2016,3495026
139,Guilty,2020,10062614
140,Dil Se..,1998,0164538
141,Poster Boys,2017,6352548
142,Krrish,2006,0432637
143,Qismat,2018,8665634
144,Newton,2017,6484982
145,Pathan,,12844910
146,Mohabbatein,2000,0213890
147,Dhoom:3,2013,1833673
148,Tanhaji: The Unsung Warrior,2020,8108274
149,Bangalore Days,2014,3668162
150,Theeran adhigaaram ondru,2017,7060460
151,B.A. Pass,2012,2408040
152,Andaz Apna Apna,1994,0109117
153,Iss Pyaar Ko Kya Naam Doon,2011,2300165
154,Sholay,1975,0073707
155,Veer-Zaara,2004,0420332
156,Madras Cafe,2013,2855648
157,Krrish 3,2013,1029231
158,Baar Baar Dekho,2016,5197544
159,Yeh Meri Family,2018,8595766
160,Aparajito,1956,0048956
161,Satya,1998,0195231
162,B.A. Pass 3,2021,14490618
163,Maheshinte Prathikaaram,2016,4851630
164,Shahid,2012,2181831
165,Madaari,2016,5713232
166,Udta Punjab,2016,4434004
167,Wazir,2016,0315642
168,Brothers,2015,3802576
169,Dostana,2008,1185420
170,Mahabharat,2013,3212600
171,Dhoom:2,2006,0441048
172,Main Hoon Na,2004,0347473
173,Taarak Mehta Ka Ooltah Chashmah,2008,1708446
174,Jodhaa Akbar,2008,0449994
175,Race 3,2018,7431594
176,Devdas,2002,0238936
177,Saaho,2019,6836936
178,2.0,2018,5080556
